Campaign,Ad Group,Keyword,Match Type
"IJM Worx - Outdoor Living Search","Custom Pools","pool builders el paso","Exact"
"IJM Worx - Outdoor Living Search","Custom Pools","el paso pool builders","Exact"
"IJM Worx - Outdoor Living Search","Custom Pools","swimming pool builders el paso tx","Exact"
"IJM Worx - Outdoor Living Search","Custom Pools","pool companies el paso","Exact"
"IJM Worx - Outdoor Living Search","Custom Pools","custom pools el paso","Exact"
"IJM Worx - Outdoor Living Search","Custom Pools","inground pool builder el paso","Exact"
"IJM Worx - Outdoor Living Search","Custom Pools","pool builder el paso","Phrase"
"IJM Worx - Outdoor Living Search","Custom Pools","swimming pool contractor el paso","Phrase"
"IJM Worx - Outdoor Living Search","Custom Pools","custom pool builder","Phrase"
"IJM Worx - Outdoor Living Search","Custom Pools","pool installation el paso","Phrase"
"IJM Worx - Outdoor Living Search","Custom Pools","build a pool el paso","Phrase"
"IJM Worx - Outdoor Living Search","Pergolas","pergola builder el paso","Exact"
"IJM Worx - Outdoor Living Search","Pergolas","pergolas el paso","Exact"
"IJM Worx - Outdoor Living Search","Pergolas","patio covers el paso","Exact"
"IJM Worx - Outdoor Living Search","Pergolas","custom pergola el paso","Phrase"
"IJM Worx - Outdoor Living Search","Pergolas","patio cover builder","Phrase"
"IJM Worx - Outdoor Living Search","Pergolas","build a pergola","Phrase"
"IJM Worx - Outdoor Living Search","Pergolas","shade structure el paso","Phrase"
"IJM Worx - Outdoor Living Search","Pergolas","covered patio contractor","Phrase"
"IJM Worx - Outdoor Living Search","Outdoor Kitchens","outdoor kitchen el paso","Exact"
"IJM Worx - Outdoor Living Search","Outdoor Kitchens","outdoor kitchen builder el paso","Exact"
"IJM Worx - Outdoor Living Search","Outdoor Kitchens","outdoor kitchen contractor","Phrase"
"IJM Worx - Outdoor Living Search","Outdoor Kitchens","build outdoor kitchen","Phrase"
"IJM Worx - Outdoor Living Search","Outdoor Kitchens","bbq island builder el paso","Phrase"
"IJM Worx - Outdoor Living Search","Outdoor Kitchens","custom outdoor kitchen","Phrase"
"IJM Worx - Outdoor Living Search","Hardscape","paver patio el paso","Exact"
"IJM Worx - Outdoor Living Search","Hardscape","retaining wall contractor el paso","Exact"
"IJM Worx - Outdoor Living Search","Hardscape","hardscape el paso","Exact"
"IJM Worx - Outdoor Living Search","Hardscape","paver installer el paso","Phrase"
"IJM Worx - Outdoor Living Search","Hardscape","paver patio contractor","Phrase"
"IJM Worx - Outdoor Living Search","Hardscape","retaining wall builder","Phrase"
"IJM Worx - Outdoor Living Search","Hardscape","hardscape contractor el paso","Phrase"
"IJM Worx - Outdoor Living Search","Hardscape","paver walkway el paso","Phrase"
"IJM Worx - Outdoor Living Search","Landscape Lighting","landscape lighting el paso","Exact"
"IJM Worx - Outdoor Living Search","Landscape Lighting","outdoor lighting el paso","Exact"
"IJM Worx - Outdoor Living Search","Landscape Lighting","landscape lighting installer","Phrase"
"IJM Worx - Outdoor Living Search","Landscape Lighting","outdoor lighting contractor el paso","Phrase"
"IJM Worx - Outdoor Living Search","Landscape Lighting","backyard lighting installer","Phrase"
"IJM Worx - Outdoor Living Search","Waterfalls","water feature builder el paso","Exact"
"IJM Worx - Outdoor Living Search","Waterfalls","backyard waterfall el paso","Exact"
"IJM Worx - Outdoor Living Search","Waterfalls","water feature contractor","Phrase"
"IJM Worx - Outdoor Living Search","Waterfalls","pool waterfall builder","Phrase"
"IJM Worx - Outdoor Living Search","Waterfalls","custom water feature","Phrase"
"IJM Worx - Outdoor Living Search","Concrete","concrete contractor el paso","Exact"
"IJM Worx - Outdoor Living Search","Concrete","stamped concrete el paso","Exact"
"IJM Worx - Outdoor Living Search","Concrete","stamped concrete patio","Phrase"
"IJM Worx - Outdoor Living Search","Concrete","decorative concrete el paso","Phrase"
"IJM Worx - Outdoor Living Search","Concrete","concrete patio contractor","Phrase"
"IJM Worx - Outdoor Living Search","Concrete","concrete driveway el paso","Phrase"
"IJM Worx - Outdoor Living Search","Landscape Design","landscaping el paso","Exact"
"IJM Worx - Outdoor Living Search","Landscape Design","landscape design el paso","Exact"
"IJM Worx - Outdoor Living Search","Landscape Design","backyard remodel el paso","Exact"
"IJM Worx - Outdoor Living Search","Landscape Design","landscaping company el paso","Phrase"
"IJM Worx - Outdoor Living Search","Landscape Design","landscape designer el paso","Phrase"
"IJM Worx - Outdoor Living Search","Landscape Design","backyard makeover el paso","Phrase"
"IJM Worx - Outdoor Living Search","Landscape Design","outdoor living contractor el paso","Phrase"
"IJM Worx - Outdoor Living Search","Landscape Design","backyard renovation el paso","Phrase"
